KAYIT SIRA;ENDEKS KODU;ENDEKSLER;ENDEKSLERIN INGILIZCE ISIMLERI;KUR TURU;TARIH;KAPANIS;ACILIS;EN DUSUK;EN YUKSEK
ORDER;INDEX CODE;INDEX NAMES IN TURKISH;INDICES;CURRENCY TYPE;DATE;CLOSING VALUE;OPEN VALUE;LOWEST VALUE;HIGHEST VALUE
41;X100C_CFCPTLUS;BIST 100 AGIRLIK SINIRLAMALI 25 (ABD DOLARI);BIST 100 CAPPED 25 (USD);USD;17/02/2026;1896.57;1896.57;1896.57;1896.57
42;X100C_CFCPTLER;BIST 100 AGIRLIK SINIRLAMALI 25 (EURO);BIST 100 CAPPED 25 (EURO);EUR;17/02/2026;1877.37;1877.37;1877.37;1877.37
43;X030S;BIST 30 AGIRLIK SINIRLAMALI 10;BIST 30 CAPPED 10;TRY;17/02/2026;15984.68;16155.41;15984.68;16240.72
44;X030S_CFCPTLUS;BIST 30 AGIRLIK SINIRLAMALI 10 (ABD DOLARI);BIST 30 CAPPED 10 (USD);USD;17/02/2026;2130.84;2130.84;2130.84;2130.84
45;X030S_CFCPTLER;BIST 30 AGIRLIK SINIRLAMALI 10 (EURO);BIST 30 CAPPED 10 (EURO);EUR;17/02/2026;2109.26;2109.26;2109.26;2109.26
46;X030C;BIST 30 AGIRLIK SINIRLAMALI 25;BIST 30 CAPPED 25;TRY;17/02/2026;15616.21;15782.67;15616.21;15867.25
47;X030C_CFCPTLUS;BIST 30 AGIRLIK SINIRLAMALI 25 (ABD DOLARI);BIST 30 CAPPED 25 (USD);USD;17/02/2026;2081.72;2081.72;2081.72;2081.72
48;X030C_CFCPTLER;BIST 30 AGIRLIK SINIRLAMALI 25 (EURO);BIST 30 CAPPED 25 (EURO);EUR;17/02/2026;2060.64;2060.64;2060.64;2060.64
49;XYLDZ;BIST YILDIZ;BIST STARS;TRY;17/02/2026;15895.12;15978.52;15895.12;16073.42
50;XYLDZ_CFNPTLUS;BIST YILDIZ (ABD DOLARI);BIST STARS (USD);USD;17/02/2026;2118.91;2118.91;2118.91;2118.91
51;XYLDZ_CFNPTLER;BIST YILDIZ (EURO);BIST STARS (EURO);EUR;17/02/2026;2097.45;2097.45;2097.45;2097.45
52;XBANA;BIST ANA;BIST MAIN;TRY;17/02/2026;56084.69;55825.91;55593.71;56143.94
53;XBANA_CFNPTLUS;BIST ANA (ABD DOLARI);BIST MAIN (USD);USD;17/02/2026;7476.39;7476.39;7476.39;7476.39
54;XBANA_CFNPTLER;BIST ANA (EURO);BIST MAIN (EURO);EUR;17/02/2026;7400.67;7400.67;7400.67;7400.67
55;XHARZ;BIST HALKA ARZ;BIST IPO;TRY;17/02/2026;213359.74;208482.84;207201.43;214526.82
56;XHARZ_CFCPTLUS;BIST HALKA ARZ (ABD DOLARI);BIST IPO (USD);USD;17/02/2026;28442;28442;28442;28442
57;XHARZ_CFCPTLER;BIST HALKA ARZ (EURO);BIST IPO (EURO);EUR;17/02/2026;28153.95;28153.95;28153.95;28153.95
58;XKOBI;BIST KOBI SANAYI;BIST SME INDUSTRIAL;TRY;17/02/2026;42626.09;42515.33;42274.78;42936.24
