entry_date,exit_date,tickers,ret,equity
2017-02-27,2017-03-06,"BMEKS,METRO,BJKAS,AVGYO,AVTUR",0.014419705917965157,1.2899066382723166
2017-03-06,2017-03-13,"TMSN,HURGZ,METRO,BMEKS,DOHOL",-0.051210770170524764,1.2238495258783186
2017-03-13,2017-03-20,"VAKFN,DOHOL,TKFEN,IHLAS,HURGZ",-0.006333218427704258,1.216098619508289
2017-03-20,2017-03-27,"VAKFN,MNDRS,NTTUR,PRKME,ASELS",0.006628467345751831,1.2241594894969134
2017-03-27,2017-04-03,"PRKME,VAKFN,NTTUR,ALCTL,KLGYO",-0.029749449343165063,1.1877414187761703
2017-04-03,2017-04-10,"VKFYO,SASA,MNDRS,ALCAR,TUCLK",0.026362196513825133,1.2190528914655574
2017-04-17,2017-04-24,"SASA,ATLAS,TATGD,PRKME,PETKM",0.033114400925181156,1.2594210976625493
2017-04-24,2017-05-02,"SASA,TKNSA,ORGE,VAKBN,KOZAA",0.002870185481244743,1.2630358698118336
2017-05-02,2017-05-09,"CEMTS,AVGYO,ENKAI,TKNSA,ORGE",0.01334333630595138,1.2798889821892128
2017-05-08,2017-05-15,"TKNSA,CEMTS,GOZDE,AVGYO,KLGYO",0.013994627812834245,1.297800552136698
2017-05-15,2017-05-23,"ECILC,KLGYO,TKNSA,GOZDE,ALCTL",0.024876924669777208,1.330085838708598
2017-05-23,2017-05-30,"KRDMD,THYAO,GOZDE,SASA,CEMTS",-0.008826648042525897,1.3183456391439694
2017-05-30,2017-06-06,"CEMTS,THYAO,KOZAA,IHLAS,GOZDE",-0.0077170863212822904,1.3081718520454093
2017-06-06,2017-06-13,"TSKB,AKSEN,BJKAS,MNDRS,AVTUR",0.014842987761913675,1.3275890308357992
2017-06-13,2017-06-20,"DGKLB,ALCTL,AVTUR,KOZAA,AKSEN",-0.008100408310042375,1.3168350176180958
2017-06-20,2017-06-29,"DGKLB,OTKAR,KOZAA,IPEKE,TKNSA",0.0978463420615407,1.445682507190571
